gift_id,donor_id,first_name,last_name,email,phone,constituent_type,class_year,capacity_tier,city,state,gift_date,gift_amount,fund_designation
G200001,CA100712,Nicholas,Garcia,nicholas.garcia172@hotmail.com,648-557-4172x15622,Alumni,1999,Medium,South Johnshire,ND,2023-12-20,598.61,Unrestricted
G200002,CA101486,Oscar,Patterson,oscar.patterson215@hotmail.com,,Parent,,Low,Gomezhaven,ID,2026-08-02,148.27,Annual Fund
G200003,CA101477,Alicia,Ortega,alicia.ortega731@yahoo.com,4168276292,Friend,,High,Grahamhaven,MP,2025-06-30,6178.43,Unrestricted
G200004,CA100532,Andrea,King,andrea.king326@hotmail.com,(657)416-1768x802,Parent,,Medium,Brandonshire,AR,2023-10-31,230.12,Annual Fund
G200005,CA100561,Kristen,Sheppard,kristen.sheppard634@yahoo.com,(796)208-9319x925,Alumni,2015,Low,South Sarah,NM,2024-05-22,56.04,Annual Fund
G200006,CA101350,Megan,Nicholson,megan.nicholson282@hotmail.com,224.652.8413x5694,Alumni,1989,Low,Robinmouth,IL,2022-07-26,48.58,Unrestricted
G200007,CA101735,Joseph,Mahoney,josephmahoney313@yahoocom,001-547-361-2189,Alumni,2007,Low,South Erica,WV,2025-02-10,53.9,Athletics
G200008,CA100446,Paula,Warner,paula.warner587@yahoo.com,+1-711-880-7156,Alumni,1974,Medium,Port Katrina,UT,"December 01, 2025",322.55,Annual Fund
G200009,CA101611,Emily,Hughes,emily.hughes817@yahoo.com,+1-256-749-6741x9916,Alumni,2011,Low,New Erin,MS,"December 17, 2025",37.9,Scholarship Fund
G200010,CA101401,Jeffery,Walker,jeffery.walker868@gmail.com,,Parent,,Low,North Stephanieville,GA,2025-08-07,90.95,Annual Fund
G200011,CA100527,John,Hoover,john.hoover965@gmail.com,618.592.3923x1260,Parent,,Low,South Andres,ID,24-Oct-2023,172.81,Annual Fund
G200012,CA100158,Christopher,Beck,christopher.beck110@hotmail.com,(506)943-6110,Alumni,1968,Medium,East Brittneyhaven,TX,2026-04-25,270.01,Endowment
G200013,CA100050,Patrick,Chase,patrick.chase438@yahoo.com,7573662702,Parent,,Low,Garciamouth,AL,2024-10-13,44.6,Athletics
G200014,CA101273,Christopher,Barber,christopher.barber325@gmail.com,999-800-9378x14604,Parent,,Low,West Jeffreyhaven,PW,05/04/2023,47.63,Annual Fund
G200015,CA100641,Daniel,Mccarthy,daniel.mccarthy397@gmail.com,767.441.2415x131,Parent,,High,Joshuahaven,TX,2025-10-03,3162.65,Scholarship Fund
G200016,CA101345,Stephanie,Rivera,stephanie.rivera87@hotmail.com,265.255.7512x47640,Parent,,Low,Millsmouth,NC,2022-12-08,123.17,Scholarship Fund
G200017,CA101290,Shannon,MORROW,shannon.morrow216@hotmail.com,8397670243,Friend,,High,Port Kathy,UT,2025-06-15,3292.94,Unrestricted
G200018,CA100903,Matthew,Johnson,matthew.johnson918@gmail.com,001-700-201-5291x13717,Friend,,Medium,Lake Edwardstad,MD,2023-11-12,319.23,Athletics
G200019,CA100236,Adam,Sanchez,adam.sanchez856@gmail.com,001-364-452-5777x547,Parent,,Low,Port Juanberg,MH,17-Oct-2024,121.32,Athletics
G200020,CA100741,Robin,Davis,robin.davis990@yahoo.com,797-226-3475x57522,Faculty/Staff,,Principal,East Bonniehaven,UT,11/04/2024,61885.29,Scholarship Fund
G200021,CA100834,Andrea,Long,andrea.long590@gmail.com,847.578.9489,Alumni,1976,Low,Brentchester,SC,2024-02-08,140.75,Annual Fund
G200022,CA100303,Courtney,Wilson,courtney.wilson621@gmail.com,209.940.7778,Alumni,2005,Low,East Brianna,NJ,2023-07-04,107.5,Annual Fund
G200023,CA101567,Eric,Butler,eric.butler159@hotmail.com,391-206-1669,Alumni,2015,Low,Port Pamelahaven,SC,03/16/2023,175.91,Capital Campaign
G200024,CA100149,Daniel,Lambert,daniel.lambert390@yahoo.com,359.469.6915x57924,Alumni,1987,Medium,Davidport,DE,2026-06-28,313.94,Athletics
G200025,CA101211,Kevin,Thompson,kevin.thompson497@gmail.com,763.946.0191x530,Parent,,Principal,Lake Kyle,PR,2022-11-29,42928.46,Athletics
G200026,CA101291,  Kyle ,Bell,,001-664-481-8754x036,Alumni,,Low,West Morganshire,NV,2025-03-04,69.35,Endowment
G200027,CA101679,Mary,Savage,mary.savage775@hotmail.com,,Friend,,Medium,Lake Elijahfurt,SC,2026-02-19,1098.66,Athletics
G200028,CA101204,Eileen,PETERS,,001-345-782-9420x340,Alumni,1986,Low,West Kathryn,KY,2025-04-06,39.1,Unrestricted
G200029,CA101040,Eugene,Green,eugene.green169@yahoo.com,912.361.6850,Parent,,Low,Port Michaelside,SD,2024-04-13,150.62,Scholarship Fund
G200030,CA101497,Sarah,Coleman,sarah.coleman50@gmail.com,396-830-3995,Alumni,2012,Principal,Everettport,MA,12/12/2025,15902.99,Athletics
G200031,CA100560,Jennifer,Savage,jennifer.savage421@hotmail.com,542.701.6542,Parent,,Low,Olsonside,UT,2023-12-14,88.7,Annual Fund
G200032,CA100288,Daniel,Gutierrez,daniel.gutierrez216@yahoo.com,(435)959-0425x979,Alumni,1992,Low,Port Jesusstad,FL,2023-06-11,41.52,Annual Fund
G200033,CA101636,  Rachel ,Barker,rachel.barker696@gmail.com,,Parent,,Low,Nicholstown,NE,2024-07-26,53.99,Unrestricted
G200034,CA100258,Joshua,White,joshua.white139_at_hotmail.com,763-892-0867x808,Alumni,2005,High,South Tiffany,UT,2026-06-16,5238.71,Annual Fund
G200035,CA100538,Frank,Thompson,frank.thompson777@yahoo.com,+1-393-812-1637x61820,Alumni,1991,Low,Smithtown,WV,2022-12-09,50.72,Scholarship Fund
G200036,CA101038,Michelle,Braun,michelle.braun690@hotmail.com,,Alumni,2006,Low,New Cheryl,FM,2026-04-07,69.52,Endowment
G200037,CA100078,Jacob,Jacobs,jacob.jacobs919@hotmail.com,(507)915-1820,Alumni,1988,Low,Warrenburgh,MN,2024-04-11,38.67,Unrestricted
G200038,CA100072,Michael,Rodriguez,michael.rodriguez26_at_hotmail.com,+1-497-684-0369x00343,Organization,,Medium,Marktown,NM,2023-09-24,214.38,Athletics
G200039,CA100383,Charles,Walton,charles.walton635@yahoo.com,234.877.8485x880,Faculty/Staff,,Low,South Shannonfurt,NV,29-Dec-2022,119.02,Endowment
G200040,CA100137,Christian,Mcgee,christian.mcgee473@yahoo.com,8167315999,Alumni,1971,Medium,Lake Joshuamouth,NM,2022-09-18,393.61,Athletics
G200041,CA100480,Scott,Thompson,scott.thompson57@hotmail.com,9832708164,Parent,,Medium,North Kelseyborough,IA,2023-07-04,531.04,Scholarship Fund
G200042,CA101003,Wayne,Berry,wayne.berry8@gmail.com,986-488-3906x246,Alumni,1985,Medium,Guzmanland,NE,2025-03-12,666.84,Scholarship Fund
G200043,CA101546,Steve,Warren,steve.warren77@yahoo.com,5366562036,Alumni,2003,High,Erinborough,SC,2023-11-19,5146.59,Annual Fund
G200044,CA101352,  Dylan ,Wiggins,dylan.wiggins594@gmail.com,215.989.2584,Alumni,2008,Low,Port Larry,AZ,"March 28, 2025",195.64,Endowment
G200045,CA101742,Aaron,Rogers,aaron.rogers494@gmail.com,912.626.0082x2837,Alumni,2018,Medium,South Kimberly,MD,2024-09-09,589.27,Capital Campaign
G200046,CA100549,Erin,Liu,erin.liu714@hotmail.com,001-449-584-3624x186,Alumni,2002,Medium,Montgomerybury,MO,2022-10-02,395.8,Capital Campaign
G200047,CA101097,Lisa,Smith,lisa.smith298@gmail.com,(520)819-7121x24139,Parent,,Medium,Fordshire,SD,2025-12-08,180.0,Scholarship Fund
G200048,CA101479,Louis,Nichols,louis.nichols552@gmail.com,559-777-7265x97640,Parent,,Low,West Anthonyland,PW,2024-05-13,46.45,Unrestricted
G200049,CA100431,David,Sherman,david.sherman357@gmail.com,749.607.5399x893,Alumni,2000,Low,Elizabethshire,TX,2025-07-02,77.67,Endowment
G200050,CA100765,Jack,Lee,jack.lee523@hotmail.com,001-770-271-3984x8228,Friend,,Low,Lake Cameronhaven,ND,2022-07-28,74.87,Annual Fund
G200051,CA101027,Ryan,Wilson,ryan.wilson721@gmail.com,698.276.1081x43561,Friend,,Principal,New Keith,MD,03/09/2024,27668.96,Endowment
G200052,CA100557,Eric,Ross,eric.ross533@gmail.com,367.315.7787,Alumni,2002,Medium,Lake Daniel,MO,2024-09-28,1596.54,Endowment
G200053,CA100156,Aaron,Schroeder,aaron.schroeder560@hotmail.com,975-618-6363,Alumni,2005,Low,Mariamouth,OH,2025-07-14,132.29,Scholarship Fund
G200054,CA100801,Nicole,Hicks,nicole.hicks550@gmail.com,(532)680-9448x5862,Alumni,2009,Medium,Jamesview,MO,23-Apr-2024,181.63,Endowment
G200055,CA100415,Brenda,Gibson,brenda.gibson548@hotmail.com,294.252.3219x416,Parent,,Low,Wilsonburgh,SD,2023-09-29,99.97,Unrestricted
G200056,CA101439,Daniel,Mendoza,daniel.mendoza675@hotmail.com,,Alumni,2009,Low,Johnsonfort,SC,2025-04-13,93.48,Athletics
G200057,CA100926,Angela,Jacobs,angela.jacobs357@hotmail.com,001-771-384-2859x6932,Friend,,Medium,Andrewhaven,FM,2025-08-27,351.57,Athletics
G200058,CA100171,Ryan,Brandt,ryan.brandt932@gmail.com,,Alumni,2019,Medium,Josemouth,AS,2025-03-30,244.37,Annual Fund
G200059,CA100969,Stephanie,Jimenez,stephanie.jimenez822@hotmail.com,001-412-279-9702x9271,Faculty/Staff,,Medium,Johnmouth,WV,2022-10-29,468.83,Athletics
G200060,CA101708,Stephanie,Mcdonald,stephanie.mcdonald275@gmail.com,001-679-939-5795x5192,Alumni,1994,Medium,Evelynland,CA,2024-10-10,237.46,Athletics
G200061,CA101627,Melanie,Meza,melanie.meza924@hotmail.com,730-469-5235x786,Alumni,1988,Medium,Christopherhaven,MA,2023-10-26,394.18,Endowment
G200062,CA101514,Linda,Butler,linda.butler528@gmail.com,+1-542-815-2483x19686,Alumni,1981,Low,Timothyview,MS,2026-09-10,58.05,Scholarship Fund
G200063,CA100079,Nathan,Campbell,nathan.campbell861@yahoo.com,001-759-305-1518x64492,Faculty/Staff,,High,West Kyle,SD,2025-06-09,7458.02,Endowment
G200064,CA100018,William,King,william.king740@gmail.com,964-800-5242,Alumni,,Low,North Charlesberg,ND,2026-04-16,66.1,Athletics
G200065,CA101331,Sarah,Huang,sarah.huang45@yahoo.com,(799)424-2773x9238,Alumni,2001,Medium,East Johnburgh,AK,"December 09, 2025",248.53,Athletics
G200066,CA100947,Samuel,Crawford,samuel.crawford560@gmail.com,(258)893-7085,Alumni,2004,Low,Lake Colleen,IA,04/04/2023,62.14,Endowment
G200067,CA100852,Christy,Mitchell,christy.mitchell313@gmail.com,791.977.6808x98126,Faculty/Staff,,Low,Douglasborough,CO,2022-07-12,53.54,Scholarship Fund
G200068,CA100939,April,Beltran,april.beltran841@gmail.com,,Alumni,2020,Medium,Jessicafort,WY,17-May-2023,335.21,Endowment
G200069,CA101287,Sharon,Jennings,sharon.jennings570@hotmail.com,+1-461-227-6620x808,Alumni,2017,Low,New David,AR,2024-10-03,71.24,Unrestricted
G200070,CA100158,Christopher,Beck,christopher.beck110@hotmail.com,(506)943-6110,Alumni,1968,Medium,East Brittneyhaven,TX,2023-07-01,448.68,Annual Fund
G200071,CA101320,Katherine,Carroll,katherine.carroll493@hotmail.com,+1-253-419-2600x986,Alumni,2004,Medium,Baileyfort,LA,2025-10-25,607.19,Endowment
